Center Elementary School,K,2,1,7,2,0,0,98
Center Elementary School,PK,2,1,5,1,0,0,63
Beaver Brook Elementary School,Gr.1,4,1,6,3,0,0,151
Beaver Brook Elementary School,Gr.2,4,1,8,3,0,0,124
Beaver Brook Elementary School,Gr.3,1,1,5,3,0,0,135
Beaver Brook Elementary School,Gr.4,4,0,8,2,0,0,169
Woodsdale Elementary School,Gr.5,8,2,3,3,0,0,157
Woodsdale Elementary School,Gr.6,1,0,7,4,0,0,149
Frolio Middle School,Gr.7,7,1,8,3,0,0,150
Frolio Middle School,Gr.8,2,2,7,7,0,0,147
Abington High,Gr.9,6,0,6,4,0,1,93
Abington High,Gr.10,2,0,14,3,0,0,107
Abington High,Gr.11,2,0,11,0,0,0,83
Abington High,Gr.12,7,0,2,5,0,0,100
Acushnet Elementary School,K,0,0,1,2,0,0,89
Acushnet Elementary School,PK,0,0,2,1,0,0,45
Acushnet Elementary School,Gr.1,0,0,4,0,0,0,97
Acushnet Elementary School,Gr.2,0,0,0,0,0,0,108
Acushnet Elementary School,Gr.3,0,0,2,0,0,0,92
Acushnet Elementary School,Gr.4,1,0,0,0,0,0,103
Albert F Ford Middle School,Gr.5,0,0,1,0,0,0,115
Albert F Ford Middle School,Gr.6,0,0,3,0,0,0,75
Albert F Ford Middle School,Gr.7,2,1,1,0,0,0,114
Albert F Ford Middle School,Gr.8,2,1,0,0,0,0,108
Agawam Early Childhood Center,PK,7,3,10,3,0,0,145
Clifford M Granger,K,1,0,9,2,0,0,28
Clifford M Granger,Gr.1,0,2,11,1,0,0,51
Clifford M Granger,Gr.2,0,1,7,3,0,0,51
Clifford M Granger,Gr.3,2,1,0,1,0,0,57
Clifford M Granger,Gr.4,0,2,1,1,0,0,60
Benjamin J Phelps,K,2,2,1,0,0,0,57
Benjamin J Phelps,Gr.1,1,1,0,0,0,0,72
Benjamin J Phelps,Gr.2,0,4,6,4,0,0,72
Benjamin J Phelps,Gr.3,3,1,6,3,0,0,63
Benjamin J Phelps,Gr.4,4,3,2,1,0,0,56
Robinson Park,K,0,1,6,3,0,0,64
Robinson Park,Gr.1,2,4,7,4,0,0,46
Robinson Park,Gr.2,1,2,5,2,0,0,58
Robinson Park,Gr.3,3,0,2,2,0,0,67
Robinson Park,Gr.4,3,4,7,7,0,0,69
James Clark School,K,1,1,7,1,0,0,52
James Clark School,Gr.1,3,1,4,0,0,0,51
James Clark School,Gr.2,1,5,6,1,0,0,63
James Clark School,Gr.3,0,2,5,0,0,0,53
