Abington - Abington High,52,45,3,1,  70.0
Abington - Abington High,63,30,5,2,  64.0
Abington - Abington High,34,45,12,0,N/A
Acton-Boxborough - Acton-Boxborough Regional High,374,96,6,4,  70.5
Acton-Boxborough - Acton-Boxborough Regional High,414,48,10,9,  68.0
Acton-Boxborough - Acton-Boxborough Regional High,349,102,12,4,N/A
Agawam - Agawam High,116,153,17,7,  58.0
Agawam - Agawam High,145,97,31,17,  50.0
Agawam - Agawam High,52,135,82,10,N/A
Amesbury - Amesbury High,64,59,9,2,  63.0
Amesbury - Amesbury High,78,34,16,6,  59.0
Amesbury - Amesbury High,47,58,19,4,N/A
Amherst-Pelham - Amherst Regional High,127,68,9,3,  59.0
Amherst-Pelham - Amherst Regional High,134,38,22,13,  54.0
Amherst-Pelham - Amherst Regional High,95,79,21,4,N/A
Andover - Andover High,262,176,9,5,  30.0
Andover - Andover High,327,99,20,7,  57.0
Andover - Andover High,138,230,63,4,N/A
Arlington - Arlington High,239,85,5,1,  47.5
Arlington - Arlington High,240,68,11,6,  55.0
Arlington - Arlington High,147,128,40,1,N/A
Ashburnham-Westminster - Oakmont Regional High School,73,75,5,3,  40.0
Ashburnham-Westminster - Oakmont Regional High School,78,56,21,3,  32.0
Ashburnham-Westminster - Oakmont Regional High School,45,70,33,3,N/A
Ashland - Ashland High,107,54,3,1,  59.5
Ashland - Ashland High,128,30,6,2,  57.0
Ashland - Ashland High,88,60,11,1,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,76,188,7,1,  54.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,112,101,54,5,  61.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,73,155,32,4,N/A
Athol-Royalston - Athol High,17,36,12,2,  36.0
Athol-Royalston - Athol High,22,12,22,12,  47.0
Athol-Royalston - Athol High,6,24,27,3,N/A
Attleboro - Attleboro High,187,165,23,10,  35.0
Attleboro - Attleboro High,211,93,56,21,  34.0
Attleboro - Attleboro High,93,187,76,12,N/A
Auburn - Auburn Senior High,93,83,9,2,  24.0
Auburn - Auburn Senior High,111,55,17,4,  39.0
Auburn - Auburn Senior High,72,86,22,1,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,60,43,3,0,  50.5
Ayer Shirley School District - Ayer Shirley Regional High School,66,25,12,2,  45.5
Ayer Shirley School District - Ayer Shirley Regional High School,46,38,16,1,N/A
Bedford - Bedford High,123,74,2,1,  54.0
Bedford - Bedford High,139,42,16,2,  46.0
Bedford - Bedford High,78,77,34,4,N/A
Belchertown - Belchertown High,116,56,5,2,  62.0
Belchertown - Belchertown High,109,47,14,8,  44.0
Belchertown - Belchertown High,73,78,11,6,N/A
Belmont - Belmont High,222,73,3,2,  46.5
Belmont - Belmont High,246,47,6,1,  39.0
Belmont - Belmont High,168,85,21,2,N/A
Berkshire Hills - Monument Mt Regional High,86,44,6,0,  43.5
Berkshire Hills - Monument Mt Regional High,64,46,20,5,  43.0
Berkshire Hills - Monument Mt Regional High,56,49,16,2,N/A
Beverly - Beverly High,141,115,8,2,  44.0
Beverly - Beverly High,148,76,37,10,  40.5
Beverly - Beverly High,114,98,42,4,N/A
Billerica - Billerica Memorial High School,135,117,10,2,  39.0
