Abington - Abington High,49,36,6,0,  49.0
Abington - Abington High,46,34,9,1,  44.0
Abington - Abington High,16,50,16,0,N/A
Acton-Boxborough - Acton-Boxborough Regional High,361,86,9,2,  60.0
Acton-Boxborough - Acton-Boxborough Regional High,397,44,13,6,  62.0
Acton-Boxborough - Acton-Boxborough Regional High,304,126,15,3,N/A
Agawam - Agawam High,144,149,23,6,  53.0
Agawam - Agawam High,166,92,42,23,  44.5
Agawam - Agawam High,54,147,97,13,N/A
Amesbury - Amesbury High,100,42,4,4,  66.0
Amesbury - Amesbury High,107,23,13,7,  60.0
Amesbury - Amesbury High,45,73,24,3,N/A
Amherst-Pelham - Amherst Regional High,136,77,8,4,  49.0
Amherst-Pelham - Amherst Regional High,160,35,15,12,  56.0
Amherst-Pelham - Amherst Regional High,81,107,17,4,N/A
Andover - Andover High,337,119,5,2,  44.0
Andover - Andover High,377,60,19,8,  57.0
Andover - Andover High,163,214,74,2,N/A
Arlington - Arlington High,211,51,4,0,  49.0
Arlington - Arlington High,211,39,13,3,  50.5
Arlington - Arlington High,100,123,32,1,N/A
Ashburnham-Westminster - Oakmont Regional High School,91,75,7,3,  41.0
Ashburnham-Westminster - Oakmont Regional High School,103,46,19,6,  47.5
Ashburnham-Westminster - Oakmont Regional High School,59,81,26,5,N/A
Ashland - Ashland High,131,48,3,0,  58.5
Ashland - Ashland High,143,34,6,0,  65.0
Ashland - Ashland High,59,98,20,0,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,70,189,12,0,  40.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,98,107,55,13,  50.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,61,155,35,3,N/A
Athol-Royalston - Athol High,20,53,10,2,  43.0
Athol-Royalston - Athol High,26,21,27,10,  39.0
Athol-Royalston - Athol High,11,31,27,5,N/A
Attleboro - Attleboro High,193,171,22,10,  53.0
Attleboro - Attleboro High,225,89,51,30,  36.5
Attleboro - Attleboro High,51,192,115,14,N/A
Auburn - Auburn Senior High,87,65,1,1,  44.5
Auburn - Auburn Senior High,81,61,10,1,  41.0
Auburn - Auburn Senior High,47,76,20,1,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,42,34,7,0,  51.0
Ayer Shirley School District - Ayer Shirley Regional High School,45,19,13,5,  36.0
Ayer Shirley School District - Ayer Shirley Regional High School,12,46,17,4,N/A
Bedford - Bedford High,149,61,3,0,  63.0
Bedford - Bedford High,151,39,16,4,  53.0
Bedford - Bedford High,83,87,24,1,N/A
Belchertown - Belchertown High,106,60,3,0,  66.0
Belchertown - Belchertown High,105,51,10,1,  70.0
Belchertown - Belchertown High,63,88,13,0,N/A
Bellingham - Bellingham High School,61,67,4,3,  36.0
Bellingham - Bellingham High School,71,36,15,11,  46.0
Bellingham - Bellingham High School,33,64,22,2,N/A
Belmont - Belmont High,233,63,4,0,  42.0
Belmont - Belmont High,255,33,9,1,  55.0
Belmont - Belmont High,183,87,12,1,N/A
Berkshire Hills - Monument Mt Regional High,71,60,6,1,  41.0
Berkshire Hills - Monument Mt Regional High,71,41,17,10,  49.0
Berkshire Hills - Monument Mt Regional High,34,59,38,2,N/A
Beverly - Beverly High,172,118,21,4,  43.5
Beverly - Beverly High,169,82,42,21,  32.0
Beverly - Beverly High,125,131,46,5,N/A
Billerica - Billerica Memorial High School,150,124,13,4,  42.0
Billerica - Billerica Memorial High School,156,66,49,22,  41.0
Billerica - Billerica Memorial High School,124,107,51,6,N/A
Blackstone Valley Regional Vocational Technical - Blackstone Valley,177,114,0,1,  54.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,192,84,17,0,  57.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,120,140,21,1,N/A
Blackstone-Millville - Blackstone Millville RHS,67,47,3,0,  62.0
Blackstone-Millville - Blackstone Millville RHS,69,33,11,2,  41.0
Blackstone-Millville - Blackstone Millville RHS,28,70,11,2,N/A
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,83,136,5,0,  48.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,92,87,39,6,  49.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,41,136,36,2,N/A
Boston - Another Course To College,20,31,5,0,  58.5
Boston - Another Course To College,27,9,18,3,  53.5
Boston - Another Course To College,2,19,21,0,N/A
Boston - Boston Arts Academy,29,79,5,1,  35.0
Boston - Boston Arts Academy,36,42,29,5,  30.0
Boston - Boston Arts Academy,4,52,43,4,N/A
Boston - Boston Community Leadership Academy,15,103,9,6,  51.0
Boston - Boston Community Leadership Academy,33,58,26,15,  34.0
Boston - Boston Community Leadership Academy,1,30,86,12,N/A
Boston - Boston International  High School,3,44,22,2, 
Boston - Boston International  High School,35,27,7,2, 
Boston - Boston International  High School,7,18,26,2,N/A
Boston - Brighton High,9,94,42,16,  32.0
Boston - Brighton High,23,40,50,51,  31.0
Boston - Brighton High,3,22,67,39,N/A
Boston - Charlestown High,9,86,29,30,  51.0
